user_id,world_id,question_id,user_response,user_time_spent,user_political_stand,reason,font_color,D,R
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,23,,16.2283,disagree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,18,,10.4109,disagree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,17,,13.6786,agree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,6,,7.8457,agree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,15,,10.9435,disagree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,12,,12.4385,disagree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,14,,7.8761,agree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,20,,7.7464,agree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,8,,8.0853,disagree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,9,,6.8325,disagree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,7,,6.509,disagree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,3,,9.6652,disagree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,5,,6.8937,agree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,4,,8.8077,disagree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,11,,9.7482,agree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,10,,6.898,agree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,1,,6.7657,disagree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,2,,12.9518,agree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,16,,6.5998,disagree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,19,,7.0563,disagree,,Purple,0.5,0.5
5c34e423-8d6e-4a62-b4be-f8755748a2eb,7,13,,7.0269,disagree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,23,,26.8877,agree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,17,,11.5105,disagree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,2,,9.3616,agree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,9,,12.9706,agree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,20,,6.9645,agree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,12,,6.3322,agree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,10,,6.9345,agree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,14,,7.125,disagree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,16,,8.3846,disagree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,18,,10.0957,disagree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,4,,10.5745,disagree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,19,,12.7151,disagree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,15,,8.0014,agree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,11,,6.8286,agree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,5,,6.8673,agree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,3,,6.8147,agree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,1,,6.7158,disagree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,8,,6.6839,agree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,7,,6.6509,disagree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,13,,10.5356,disagree,,Purple,0.5,0.5
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,1,6,,7.6814,disagree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,23,,35.278,disagree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,14,,7.5394,disagree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,2,,10.7747,disagree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,20,,8.339,agree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,9,,19.0059,agree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,11,,11.7789,agree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,15,,9.1317,agree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,3,,11.5231,agree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,1,,11.903,disagree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,17,,15.0601,disagree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,8,,20.5065,disagree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,5,,7.798,agree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,18,,8.0382,disagree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,19,,9.4784,disagree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,6,,9.2997,disagree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,4,,10.5953,agree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,12,,9.9955,disagree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,10,,22.1316,agree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,7,,14.5469,agree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,13,,7.5309,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,24,,25.63,disagree,,Purple,0.5,0.5
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,9,16,,6.8378,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,12,,20.5309,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,16,,7.4294,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,20,,7.1525,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,6,,8.9253,disagree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,1,,9.3359,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,4,,8.046,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,17,,26.1062,disagree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,8,,9.5712,disagree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,2,,9.2107,disagree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,18,,6.7358,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,5,,142.335,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,14,,6.0501,disagree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,11,,6.4657,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,9,,13.4375,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,15,,6.1533,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,10,,5.944,disagree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,19,,10.481,disagree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,7,,6.8569,disagree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,13,,5.9932,agree,,Purple,0.5,0.5
5c34f45d-408d-4388-a655-f44a14991304,3,3,,9.1862,disagree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,24,,9.5618,agree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,15,,14.8018,agree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,14,,6.4186,disagree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,5,,16.7019,agree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,16,,11.1585,agree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,3,,14.7643,agree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,4,,17.0457,disagree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,12,,6.2499,disagree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,1,,6.9725,disagree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,17,,6.2743,disagree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,8,,13.1949,disagree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,18,,6.6633,agree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,19,,12.5616,agree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,9,,10.9841,agree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,2,,7.3551,disagree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,11,,6.4016,disagree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,7,,12.1406,agree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,6,,6.1465,disagree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,10,,89.0931,disagree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,20,,111.6046,agree,,Purple,0.5,0.5
5c34f905-a310-47cd-bf2b-324cf95e4adb,8,13,,7.5225,disagree,,Purple,0.5,0.5
5c34fb92-4252-4a48-9ff8-239a2501d197,6,23,,16.956,disagree,,Purple,0.5,0.5
5c34fb92-4252-4a48-9ff8-239a2501d197,6,3,,8.606,agree,,Purple,0.5,0.5
5c34fb92-4252-4a48-9ff8-239a2501d197,6,19,,12.778,disagree,,Purple,0.5,0.5
5c34fb92-4252-4a48-9ff8-239a2501d197,6,11,,7.252,agree,,Purple,0.5,0.5
5c34fb92-4252-4a48-9ff8-239a2501d197,6,6,,9.808,agree,,Purple,0.5,0.5
5c34fb92-4252-4a48-9ff8-239a2501d197,6,2,,8.716,agree,,Purple,0.5,0.5
5c34fb73-f72f-4f98-8983-ea626d94f60c,10,24,,22.5966,agree,,Purple,0.5,0.5
5c34fb92-4252-4a48-9ff8-239a2501d197,6,20,,7.236,disagree,,Purple,0.5,0.5
5c34fb92-4252-4a48-9ff8-239a2501d197,6,10,,6.406,disagree,,Purple,0.5,0.5
5c34fb73-f72f-4f98-8983-ea626d94f60c,10,20,,16.9948,agree,,Purple,0.5,0.5
5c34fb92-4252-4a48-9ff8-239a2501d197,6,8,,6.776,disagree,,Purple,0.5,0.5
5c34fb92-4252-4a48-9ff8-239a2501d197,6,14,,9.046,disagree,,Purple,0.5,0.5
5c34fb92-4252-4a48-9ff8-239a2501d197,6,13,,9.59,disagree,,Purple,0.5,0.5
5c34fb73-f72f-4f98-8983-ea626d94f60c,10,6,,22.0318,agree,,Purple,0.5,0.5
5c34fb92-4252-4a48-9ff8-239a2501d197,6,7,,9.02,disagree,,Purple,0.5,0.5
5c34fb73-f72f-4f98-8983-ea626d94f60c,10,8,,11.9783,disagree,,Purple,0.5,0.5
